states,male,female,ratio,norm_ratio
Colorado,54,18,3.0,0.0
Pennsylvania,232,35,6.628571428571429,0.4712430426716142
New Hampshire,27,4,6.75,0.48701298701298706
Rhode Island,20,4,5.0,0.25974025974025977
Washington,59,19,3.1052631578947367,0.013670539986329446
Ohio,107,10,10.7,1.0
Wisconsin,100,11,9.090909090909092,0.7910271546635185
Maryland,99,13,7.615384615384615,0.5994005994005994
New Jersey,84,20,4.2,0.15584415584415587
Massachusetts,356,83,4.289156626506024,0.16742293850727588
North Carolina,144,37,3.891891891891892,0.11583011583011586
California,588,92,6.391304347826087,0.44042913608131
Indiana,60,9,6.666666666666667,0.4761904761904763
Illinois,256,54,4.7407407407407405,0.22607022607022606
Texas,132,30,4.4,0.18181818181818188
Michigan,17,4,4.25,0.16233766233766236
Arizona,79,16,4.9375,0.25162337662337664
Georgia,25,6,4.166666666666667,0.15151515151515157
Virginia,98,17,5.764705882352941,0.3590527119938885
Minnesota,64,6,10.666666666666666,0.9956709956709957
New York,205,30,6.833333333333333,0.49783549783549785
Utah,45,9,5.0,0.25974025974025977
